gene_symbol	GSM9336110	GSM9336111	GSM9336112	GSM9336113	GSM9336114	GSM9336115
HARS1	3148	3976	4598	3834	3327	3558
HARS2	2045	2339	2509	1799	1856	2216
HAS2	6	8	8	6	2	6
HAS3	34	18	32	56	54	72
HASPIN	176	292	218	110	94	110
HAT1	564	918	909	736	512	675
HAUS1	641	864	918	884	728	844
HAUS2	306	472	500	433	400	472
HAUS3	9	3	7	0	0	6
HAUS4	208	314	331	323	218	291
HAUS5	150	156	159	160	134	202
HAUS6	569	879	1096	606	457	676
HAUS6P1	0	2	0	0	4	2
HAUS7	5	0	2	2	3	1
HAUS8	256	383	280	278	322	241
HAVCR1	0	0	0	0	6	0
HAVCR2	0	0	2	14	6	2
HAX1	3058	4232	4552	5124	3724	4686
HBA2	0	0	0	10	2	0
HBB	0	0	8	0	0	6
HBEGF	595	740	720	900	924	878
HBP1	1445	1852	2076	1847	1351	1533
HBQ1	6	4	4	2	0	0
HBS1L	1695	2672	2735	1863	1707	1917
HCAR3	0	0	4	0	0	0
HCCS	1127	1331	1759	1456	1022	1377
HCCS-DT	2	0	0	0	0	2
HCFC1	4717	6555	6400	4662	4310	4174
HCFC1R1	99	114	131	221	272	222
HCFC2	328	423	468	633	592	766
HCG11	6	30	4	18	24	22
HCG18	53	79	58	18	24	22
HCG20	1	1	1	0	0	2
HCG25	10	8	6	6	8	0
HCG27	4	4	6	4	0	8
HCG9	1	0	0	0	0	0
HCLS1	3867	5429	5388	4910	4325	4397
HCN1	8	0	0	0	0	0
HCN2	72	76	58	694	492	660
HCN3	34	28	50	16	34	48
HCN4	2	0	0	0	0	0
HCP5	0	2	0	0	0	0
HCRTR1	4	7	11	8	6	5
HCST	0	0	2	7	7	1
HDAC1	3439	4101	4883	3732	3113	3541
HDAC10	10	4	4	2	6	6
HDAC11	149	192	152	64	64	108
HDAC2	4347	6097	7038	3801	3108	3429
HDAC3	2243	2992	3589	2295	1867	1943
HDAC4	379	683	738	512	405	393
HDAC4-AS1	2	12	0	0	0	0
HDAC5	638	1030	834	730	708	628
HDAC6	638	889	949	700	576	652
HDAC7	3233	4651	4554	4163	3368	3464
HDAC8	58	70	82	34	53	40
HDAC9	24	6	49	76	30	65
HDDC2	144	156	145	92	110	112
HDDC3	154	226	274	340	354	424
HDGF	5720	8125	7633	5271	4451	4373
HDGFL2	3102	4337	4613	3944	3281	3631
HDGFL3	1362	1816	1856	1729	1559	1739
HDHD2	6	6	9	5	2	1
HDHD3	20	26	30	8	24	16
HDHD5	515	660	753	669	460	463
HDHD5-AS1	3	1	0	0	0	0
HDLBP	34582	44250	51204	51987	44149	46676
HDX	90	155	188	153	124	132
HEATR1	2873	4164	4460	3549	2895	3180
HEATR3	573	803	964	582	454	570
HEATR4	4	0	0	0	0	0
HEATR5A	588	842	1011	1436	1270	1240
HEATR5B	1394	1716	2113	1918	1559	1770
HEATR6	550	608	651	465	475	366
HEATR9	0	0	0	1	0	0
HEBP1	536	659	642	718	677	554
HEBP2	1413	1665	1945	1638	1316	1624
HECA	226	296	226	160	176	196
HECTD1	5134	7768	8182	9475	8188	8841
HECTD2	132	204	208	221	222	285
HECTD2-AS1	2	0	0	0	0	2
HECTD3	1990	2798	2777	3339	2701	2651
HECTD4	2807	3444	4252	4441	4070	3917
HECW2	2985	3947	4323	5635	4889	5043
HECW2-AS1	2	0	0	0	0	0
HEG1	4134	5075	5750	4100	3637	3923
HEIH	15	12	16	10	18	6
HELB	70	84	119	8	18	16
HELLS	604	995	1050	540	439	529
HELQ	194	209	240	286	228	237
HELZ	2514	3620	3738	2690	2573	2480
HELZ2	362	508	430	2042	1883	1544
HEMK1	248	362	428	328	213	293
HEMK2	54	46	109	30	72	60
HENMT1	39	40	50	88	60	50
HEPACAM	0	0	2	0	0	0
HEPACAM2	2	0	0	0	0	0
HEPH	6	4	6	0	0	2
HERC1	5339	6614	8447	7091	6565	6683
HERC2	8926	11951	14042	10833	9910	10926
HERC2P2	28	19	35	26	19	12
HERC2P3	23	31	19	15	0	1
HERC2P6	0	0	0	0	1	0
HERC2P9	12	9	8	7	1	4
HERC3	0	3	0	2	6	0
HERC4	1491	2197	2540	3655	2767	3061
HERC5	82	66	92	11	32	30
HERC6	109	164	166	368	254	247
HERPUD1	1993	2189	2628	3085	2373	2832
HERPUD2	808	987	1097	1434	1068	1432
HERPUD2-AS1	8	6	16	8	6	8
HES1	727	916	1007	267	161	214
HES2	86	156	126	160	212	146
HES4	156	180	138	126	114	84
HES5	0	0	2	0	0	0
HES6	22	8	30	8	6	28
HES7	27	19	19	14	36	6
HESX1	10	3	2	0	1	4
HEXA	2458	3083	3491	3964	3623	3663
HEXB	5697	6516	8130	8129	7081	8509
HEXD	126	214	271	64	96	95
HEXIM1	356	376	450	382	336	300
HEXIM2	36	30	56	78	31	52
HEY1	295	316	348	90	50	64
HEY2	26	36	26	35	20	22
HEYL	0	0	2	0	0	2
HFE	78	104	94	170	136	156
HFM1	2	2	7	0	0	0
HGD	4	0	0	4	16	0
HGF	0	4	16	105	123	86
HGH1	838	1004	1196	1248	866	1126
HGS	2829	3593	3896	3424	2543	3151
HGSNAT	1079	1361	1396	1663	1497	1641
HHAT	34	46	58	26	17	19
HHEX	1293	1514	1742	1573	1228	1614
HHIP	21236	28070	30168	15274	12404	15934
HHIP-AS1	48	77	51	22	30	12
HHIPL1	18	12	12	30	48	32
HHIPL2	0	2	1	0	0	0
HIBADH	470	606	696	706	592	684
HIBCH	481	703	1033	745	563	602
HIC1	394	508	458	218	190	221
HIC2	80	100	90	20	27	41
HID1	934	1171	1299	778	564	588
HID1-AS1	0	2	0	0	0	0
HIF1A	5038	7623	7424	8404	6414	8481
HIF1A-AS3	3	6	6	1	4	10
HIF1AN	740	974	931	657	455	549
HIF3A	14	6	34	28	12	8
HIGD1A	37	49	29	14	15	22
HIGD2A	352	484	524	414	378	400
HIGD2B	0	0	2	0	0	0
HIKESHI	461	554	723	856	588	799
HIKESHIP2	0	2	0	0	2	0
HILPDA	58	59	67	38	25	39
HINFP	433	557	440	416	294	462
HINT1	3037	3930	3932	4430	3492	3928
HINT2	0	3	5	5	7	4
HINT3	68	102	92	44	70	82
HIP1	2273	2969	3121	3174	2790	3119
HIP1R	3743	4954	5438	3272	2488	3036
HIPK1	2118	3048	3106	2509	2158	2340
HIPK1-AS1	0	0	2	0	0	0
HIPK2	2700	3456	3816	2026	1975	2073
HIPK3	1573	2109	2678	3168	2618	3219
HIPK4	4	2	2	0	0	0
HIRA	76	75	79	49	55	62
